Name,Age,GPA,Sports_Played,Credits_Completed,Major,Year
Samuel Williams,23,3.97,0,21,Sociology,Graduate
Jane Ramirez,23,3.54,0,7,Engineering,Sophomore
Sarah Garcia,18,3.17,2,53,Philosophy,Sophomore
James Sanchez,25,2.1,2,14,History,Senior
Samuel Williams,24,2.83,1,18,Economics,Junior
Matthew Thomas,25,2.89,0,67,Philosophy,Graduate
Sophia Moore,21,3.88,0,16,Chemistry,Sophomore
Harper Jones,20,2.96,2,15,Computer Science,Graduate
Emily Thomas,23,2.13,2,23,Literature,Freshman
Olivia Johnson,24,2.98,2,42,Biology,Graduate
Amelia Wilson,22,2.3,0,28,Economics,Freshman
Mia Lopez,25,2.61,0,93,Science,Graduate
Abigail Brown,24,2.17,1,52,Biology,Sophomore
Amelia Smith,22,3.38,3,120,Literature,Junior
James Clark,20,3.87,1,97,Science,Junior
Samuel Johnson,24,3.98,3,52,Engineering,Senior
Joseph Rodriguez,21,3.43,1,15,Biology,Junior
Amelia Lee,21,2.42,0,59,Economics,Sophomore
Olivia Taylor,19,3.11,2,16,Philosophy,Graduate
Mia Thomas,20,3.57,0,68,Economics,Junior
Samuel Thomas,25,2.85,1,92,Sociology,Graduate
Laura Lewis,25,3.29,0,56,Philosophy,Freshman
Chris Martin,20,3.67,1,52,Chemistry,Graduate
Laura Lewis,18,3.94,0,81,Economics,Freshman
Samuel Thompson,22,2.46,1,30,History,Senior
Abigail Taylor,18,3.35,2,99,Art,Graduate
Abigail Hernandez,19,3.56,1,14,Sociology,Junior
Olivia Taylor,20,3.65,0,62,Philosophy,Senior
David Moore,24,3.05,3,44,Biology,Graduate
Alex Thompson,22,3.83,0,102,Chemistry,Junior
Isabella Lee,20,2.05,3,15,Engineering,Freshman
Ethan Lewis,18,3.48,1,63,Computer Science,Senior
Chris Taylor,25,2.37,1,49,Chemistry,Freshman
Katie Thompson,21,3.09,2,46,Psychology,Senior
Daniel Gonzalez,23,2.94,3,34,Literature,Junior
Isabella Wilson,25,3.24,1,75,Art,Graduate
Matthew Martin,20,2.12,1,73,Science,Sophomore
Sophia Williams,25,2.65,2,67,Mathematics,Graduate
Jane Smith,20,2.13,0,72,Psychology,Senior
James Johnson,19,3.07,0,30,Engineering,Senior
Matthew Lewis,18,2.07,3,44,Economics,Sophomore
Jane Jackson,22,3.55,2,64,Literature,Senior
Mia Clark,24,2.81,0,60,Business,Graduate
Amelia Martinez,21,2.37,3,97,Biology,Sophomore
Ethan Johnson,19,3.23,0,11,Mathematics,Freshman
David Lee,22,2.75,1,104,Science,Freshman
Ethan Miller,23,2.16,3,69,Business,Sophomore
Sarah Perez,22,2.17,3,95,Computer Science,Graduate
Lucas Anderson,20,3.38,1,103,Business,Sophomore
Alex Robinson,23,2.26,0,78,Mathematics,Sophomore
Elijah Lee,25,2.18,3,84,Business,Senior
Isabella Thomas,22,3.45,2,98,Sociology,Sophomore
Elijah Brown,22,2.13,3,113,Computer Science,Freshman
Abigail Moore,20,2.75,3,49,Psychology,Junior
Isabella Johnson,22,3.89,3,42,History,Junior
Benjamin Taylor,18,3.07,2,112,Literature,Senior
Joseph Miller,18,3.48,3,78,Business,Graduate
James Clark,20,3.2,3,4,History,Junior
Mia Miller,20,2.77,3,72,Engineering,Freshman
Lucas Gonzalez,25,3.65,0,88,History,Sophomore
Alex White,19,2.99,3,101,Mathematics,Freshman
Benjamin Williams,21,3.54,3,10,Engineering,Freshman
Evelyn Lee,24,2.43,2,23,Business,Freshman
Amelia Jones,18,2.09,3,68,History,Graduate
Ethan Jackson,18,2.68,1,39,Philosophy,Graduate
David Moore,25,3.66,3,118,Psychology,Senior
Evelyn Sanchez,20,3.83,1,71,Business,Freshman
Emily Davis,18,2.46,1,116,Computer Science,Sophomore
Emily Martinez,19,2.75,1,44,History,Junior
Emily Harris,25,2.51,3,13,Literature,Junior
Benjamin Lopez,22,3.69,3,92,History,Senior
Alex Perez,21,3.66,1,15,Engineering,Freshman
Harper Taylor,18,2.4,0,47,Philosophy,Freshman
Charlotte Martin,21,2.51,3,30,Business,Sophomore
Alex Davis,25,2.19,3,50,Literature,Senior
Andrew Clark,23,2.77,2,72,Science,Graduate
John Johnson,25,3.09,3,112,Philosophy,Senior
Daniel White,22,2.31,0,107,Biology,Graduate
Elijah Moore,24,2.5,0,60,History,Sophomore
Samuel White,23,3.17,0,87,Chemistry,Senior
Ethan Williams,22,2.67,3,12,Psychology,Freshman
Alex White,19,3.45,2,85,Engineering,Freshman
Evelyn Martinez,25,2.2,0,97,Mathematics,Senior
Olivia Rodriguez,20,3.18,0,105,Economics,Freshman
Daniel Sanchez,23,3.69,3,33,History,Junior
Andrew Wilson,23,2.4,3,75,Computer Science,Graduate
John Thompson,24,3.76,0,95,Engineering,Freshman
Alex Brown,21,2.22,1,44,Biology,Senior
Katie Jones,18,2.9,1,48,Biology,Sophomore
Ethan Robinson,25,3.25,3,48,Economics,Junior
Emma Wilson,24,3.21,3,42,Economics,Freshman
Emma Smith,22,2.62,0,75,Mathematics,Sophomore
David Martinez,21,3.36,1,97,Psychology,Senior
Alex Hernandez,22,2.62,0,21,Sociology,Sophomore
Sophia Harris,18,2.48,1,42,Economics,Freshman
Katie Harris,24,3.97,1,60,Computer Science,Senior
Isabella Anderson,21,3.39,3,84,Science,Senior
Emma Garcia,25,2.32,1,16,Psychology,Graduate
